dataset_id	method_id	dataset_id_orig	dataset_source	dataset_geo_id	dataset_organism	dataset_num_cells	dataset_num_features_mod1	dataset_mod1_modality	dataset_num_batches	dataset_num_cell_types	dataset_num_features_mod2	dataset_mod2_modality	method_task	method_label	method_description	method_maintainer	method_num_authors	method_language	method_type	method_doi	metric_id	value
dyngen_citeseq_2_MM	baseline_dr_knnr_knn	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA	finished	1
dyngen_atac_1_MM	baseline_newwave_knnr_cbf	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	NewWave+KNNR+GA	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA	finished	1
dyngen_atac_1_MM	dummy_random	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	Random Pairing	Generates random pairings weights drawn from a uniform distribution.	Alex Tong	1	python	negative_control	NA	finished	1
dyngen_citeseq_1_MM	baseline_procrustes_knn	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA	finished	1
dyngen_citeseq_3_MM	dummy_zeros	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	match_modality	Zeros	Generates a pairing matrix with all zero weights.	Robrecht Cannoodt	1	r	negative_control	NA	finished	1
dyngen_atac_2_MM	dummy_solution	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	finished	1
dyngen_atac_1_MM	dummy_solution	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	finished	1
dyngen_citeseq_2_MM	dummy_semisolution	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	NA	NA	NA	NA	NA	NA	NA	NA	finished	1
dyngen_citeseq_1_MM	dummy_semisolution	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	NA	NA	NA	NA	NA	NA	NA	NA	finished	1
dyngen_atac_1_MM	dummy_semisolution	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	NA	NA	NA	NA	NA	NA	NA	NA	finished	1
dyngen_citeseq_3_MM	dummy_semisolution	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	NA	NA	NA	NA	NA	NA	NA	NA	finished	1
dyngen_atac_3_MM	dummy_semisolution	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	NA	NA	NA	NA	NA	NA	NA	NA	finished	1
dyngen_atac_2_MM	dummy_semisolution	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	NA	NA	NA	NA	NA	NA	NA	NA	finished	1
dyngen_citeseq_3_MM	baseline_dr_knnr_knn	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.0029411453061709155
dyngen_citeseq_1_MM	dummy_zeros	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	Zeros	Generates a pairing matrix with all zero weights.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod1	0
dyngen_citeseq_1_MM	baseline_newwave_knnr_knn	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	NewWave+KNNR+KNN	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.0029406765007947435
dyngen_atac_1_MM	baseline_procrustes_knn	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA	match_probability_mod1	0.002945094522684056
dyngen_citeseq_3_MM	dummy_solution	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	match_probability_mod1	1
dyngen_citeseq_3_MM	dummy_random	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	match_modality	Random Pairing	Generates random pairings weights drawn from a uniform distribution.	Alex Tong	1	python	negative_control	NA	match_probability_mod1	0.0030191951293033785
dyngen_citeseq_2_MM	dummy_solution	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	match_probability_mod1	1
dyngen_citeseq_3_MM	dummy_constant	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod1	0.0029411764705882353
dyngen_atac_1_MM	baseline_newwave_knnr_knn	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	NewWave+KNNR+KNN	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.0029080743038441426
dyngen_atac_3_MM	dummy_constant	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod1	0.0029411764705882353
dyngen_citeseq_1_MM	baseline_newwave_knnr_cbf	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	NewWave+KNNR+GA	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.009911764705882353
dyngen_atac_3_MM	baseline_procrustes_knn	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA	match_probability_mod1	0.002941907003588229
dyngen_atac_2_MM	dummy_constant	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod1	0.0029411764705882353
dyngen_atac_3_MM	dummy_random	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	Random Pairing	Generates random pairings weights drawn from a uniform distribution.	Alex Tong	1	python	negative_control	NA	match_probability_mod1	0.0028703812488866313
dyngen_atac_2_MM	baseline_newwave_knnr_cbf	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	match_modality	NewWave+KNNR+GA	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.01997058823529412
dyngen_citeseq_1_MM	dummy_random	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	Random Pairing	Generates random pairings weights drawn from a uniform distribution.	Alex Tong	1	python	negative_control	NA	match_probability_mod1	0.0028104075660428662
dyngen_atac_3_MM	dummy_zeros	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	Zeros	Generates a pairing matrix with all zero weights.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod1	0
dyngen_atac_3_MM	baseline_newwave_knnr_knn	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	NewWave+KNNR+KNN	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.00291446975078589
dyngen_atac_2_MM	dummy_random	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	match_modality	Random Pairing	Generates random pairings weights drawn from a uniform distribution.	Alex Tong	1	python	negative_control	NA	match_probability_mod1	0.0028568136405354104
dyngen_citeseq_2_MM	dummy_constant	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod1	0.0029411764705882353
dyngen_atac_1_MM	dummy_constant	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod1	0.0029411764705882353
dyngen_atac_2_MM	baseline_newwave_knnr_knn	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	match_modality	NewWave+KNNR+KNN	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.002967789446054301
dyngen_citeseq_1_MM	dummy_solution	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	match_probability_mod1	1
dyngen_atac_3_MM	baseline_newwave_knnr_cbf	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	NewWave+KNNR+GA	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.01531372549019608
dyngen_citeseq_2_MM	baseline_newwave_knnr_knn	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	match_modality	NewWave+KNNR+KNN	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.002960685708571774
dyngen_atac_3_MM	dummy_solution	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	match_probability_mod1	1
dyngen_citeseq_2_MM	dummy_random	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	match_modality	Random Pairing	Generates random pairings weights drawn from a uniform distribution.	Alex Tong	1	python	negative_control	NA	match_probability_mod1	0.002884923846310394
dyngen_citeseq_1_MM	baseline_dr_knnr_knn	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.0029428222879108344
dyngen_atac_1_MM	baseline_dr_knnr_knn	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.0029407723122852458
dyngen_atac_2_MM	baseline_procrustes_knn	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA	match_probability_mod1	0.0029427786601870275
dyngen_citeseq_3_MM	baseline_newwave_knnr_knn	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	match_modality	NewWave+KNNR+KNN	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.002950082182534805
dyngen_atac_1_MM	dummy_zeros	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	Zeros	Generates a pairing matrix with all zero weights.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod1	0
dyngen_citeseq_2_MM	baseline_procrustes_knn	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA	match_probability_mod1	0.0029331503170469567
dyngen_citeseq_3_MM	baseline_newwave_knnr_cbf	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	match_modality	NewWave+KNNR+GA	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.012519607843137255
dyngen_atac_2_MM	baseline_dr_knnr_knn	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.002946486450775034
dyngen_atac_2_MM	dummy_zeros	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	match_modality	Zeros	Generates a pairing matrix with all zero weights.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod1	0
dyngen_citeseq_2_MM	dummy_zeros	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	match_modality	Zeros	Generates a pairing matrix with all zero weights.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod1	0
dyngen_atac_3_MM	baseline_dr_knnr_knn	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.002940681101110232
dyngen_citeseq_2_MM	baseline_newwave_knnr_cbf	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	match_modality	NewWave+KNNR+GA	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.006401960784313726
dyngen_citeseq_1_MM	dummy_constant	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod1	0.0029411764705882353
dyngen_citeseq_3_MM	baseline_procrustes_knn	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA	match_probability_mod1	0.0029406085951162184
dyngen_citeseq_2_MM	baseline_dr_knnr_knn	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.0029410668893173585
dyngen_atac_1_MM	baseline_newwave_knnr_cbf	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	NewWave+KNNR+GA	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod1	0.012254901960784315
dyngen_atac_1_MM	dummy_random	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	Random Pairing	Generates random pairings weights drawn from a uniform distribution.	Alex Tong	1	python	negative_control	NA	match_probability_mod1	0.002910686179568869
dyngen_citeseq_1_MM	baseline_procrustes_knn	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA	match_probability_mod1	0.002946012094090595
dyngen_citeseq_3_MM	dummy_zeros	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	match_modality	Zeros	Generates a pairing matrix with all zero weights.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod1	0
dyngen_atac_2_MM	dummy_solution	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	match_probability_mod1	1
dyngen_atac_1_MM	dummy_solution	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	match_probability_mod1	1
dyngen_citeseq_2_MM	dummy_semisolution	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	NA	NA	NA	NA	NA	NA	NA	NA	match_probability_mod1	0.1047626790508854
dyngen_citeseq_1_MM	dummy_semisolution	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	NA	NA	NA	NA	NA	NA	NA	NA	match_probability_mod1	0.1029013635026741
dyngen_atac_1_MM	dummy_semisolution	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	NA	NA	NA	NA	NA	NA	NA	NA	match_probability_mod1	0.10223160084853398
dyngen_citeseq_3_MM	dummy_semisolution	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	NA	NA	NA	NA	NA	NA	NA	NA	match_probability_mod1	0.10281575822871272
dyngen_atac_3_MM	dummy_semisolution	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	NA	NA	NA	NA	NA	NA	NA	NA	match_probability_mod1	0.10374055241238646
dyngen_atac_2_MM	dummy_semisolution	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	NA	NA	NA	NA	NA	NA	NA	NA	match_probability_mod1	0.0988461184818491
dyngen_citeseq_3_MM	baseline_dr_knnr_knn	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod2	0.0029411477139140987
dyngen_citeseq_1_MM	dummy_zeros	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	Zeros	Generates a pairing matrix with all zero weights.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod2	0
dyngen_citeseq_1_MM	baseline_newwave_knnr_knn	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	NewWave+KNNR+KNN	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod2	0.002941271025287541
dyngen_atac_1_MM	baseline_procrustes_knn	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA	match_probability_mod2	0.0029450950356265126
dyngen_citeseq_3_MM	dummy_solution	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	match_probability_mod2	1
dyngen_citeseq_3_MM	dummy_random	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	match_modality	Random Pairing	Generates random pairings weights drawn from a uniform distribution.	Alex Tong	1	python	negative_control	NA	match_probability_mod2	0.003018379223295348
dyngen_citeseq_2_MM	dummy_solution	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	match_probability_mod2	1
dyngen_citeseq_3_MM	dummy_constant	dyngen_citeseq_3	dyngen	NA	synthetic	1000	993	GEX	2	5	217	ADT	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod2	0.0029411764705882353
dyngen_atac_1_MM	baseline_newwave_knnr_knn	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	NewWave+KNNR+KNN	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod2	0.002907586707680186
dyngen_atac_3_MM	dummy_constant	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod2	0.0029411764705882353
dyngen_citeseq_1_MM	baseline_newwave_knnr_cbf	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	NewWave+KNNR+GA	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod2	0.009911764705882353
dyngen_atac_3_MM	baseline_procrustes_knn	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA	match_probability_mod2	0.002941834010788792
dyngen_atac_2_MM	dummy_constant	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod2	0.0029411764705882353
dyngen_atac_3_MM	dummy_random	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	Random Pairing	Generates random pairings weights drawn from a uniform distribution.	Alex Tong	1	python	negative_control	NA	match_probability_mod2	0.00286627816674456
dyngen_atac_2_MM	baseline_newwave_knnr_cbf	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	match_modality	NewWave+KNNR+GA	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod2	0.01997058823529412
dyngen_citeseq_1_MM	dummy_random	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	Random Pairing	Generates random pairings weights drawn from a uniform distribution.	Alex Tong	1	python	negative_control	NA	match_probability_mod2	0.0028114456923258647
dyngen_atac_3_MM	dummy_zeros	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	Zeros	Generates a pairing matrix with all zero weights.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod2	0
dyngen_atac_3_MM	baseline_newwave_knnr_knn	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	NewWave+KNNR+KNN	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod2	0.0029148475888047354
dyngen_atac_2_MM	dummy_random	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	match_modality	Random Pairing	Generates random pairings weights drawn from a uniform distribution.	Alex Tong	1	python	negative_control	NA	match_probability_mod2	0.002880260430536893
dyngen_citeseq_2_MM	dummy_constant	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod2	0.0029411764705882353
dyngen_atac_1_MM	dummy_constant	dyngen_atac_1	dyngen	NA	synthetic	994	950	GEX	2	4	1151	ATAC	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA	match_probability_mod2	0.0029411764705882353
dyngen_atac_2_MM	baseline_newwave_knnr_knn	dyngen_atac_2	dyngen	NA	synthetic	990	973	GEX	2	5	1141	ATAC	match_modality	NewWave+KNNR+KNN	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod2	0.0029681328345374396
dyngen_citeseq_1_MM	dummy_solution	dyngen_citeseq_1	dyngen	NA	synthetic	992	933	GEX	2	4	106	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	match_probability_mod2	1
dyngen_atac_3_MM	baseline_newwave_knnr_cbf	dyngen_atac_3	dyngen	NA	synthetic	994	980	GEX	2	5	1135	ATAC	match_modality	NewWave+KNNR+GA	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod2	0.01531372549019608
dyngen_citeseq_2_MM	baseline_newwave_knnr_knn	dyngen_citeseq_2	dyngen	NA	synthetic	1000	974	GEX	2	4	204	ADT	match_modality	NewWave+KNNR+KNN	Perform DR with NewWave, predict embedding with KNN regression, and match cells with a KNN.	Robrecht Cannoodt	1	r	baseline	NA	match_probability_mod2	0.0029615108008310166
